roll,probability
1,.100
2,.999875
3,.9989999999999999
4,.996625
5,.9919999999999999
6,.9843749999999999
7,.9729999999999998
8,.9571249999999998
9,.9359999999999998
10,.9088749999999997
11,.8749999999999997
12,.8336249999999997
13,.7839999999999996
14,.7253749999999997
15,.6569999999999996
16,.5781249999999996
17,.48799999999999955
18,.38587499999999956
19,.27099999999999955
20,.14262499999999955
